Ano,Região Geográfica,Unidade da Federação,Município,Total,Educacao Infantil,Ensino Fundamental,Ensino Médio,Educação Profissional,Educação de Jovens e Adultos (EJA),Federal,Estadual,Municipal,Privada,Urbana,Rural,Feminino,Masculino,Não Declarada,Branca,Preta,Parda,Amarela,Indígena,Até 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,15 a 17 anos,18 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 anos ou mais
2015, Sul  , Santa Catarina  , Salete  ,1541,338,922,245,0,36,0,751,790,0,1437,104,732,809,335,1172,4,30,0,0,162,164,449,425,300,12,9,5,6,3,6
2015, Sul  , Santa Catarina  , Saltinho  ,939,164,569,183,0,23,0,517,422,0,791,148,453,486,321,504,3,109,1,1,51,104,271,296,184,14,8,3,1,2,5
2015, Sul  , Santa Catarina  , Salto Veloso  ,944,308,510,126,0,0,0,164,780,0,944,0,456,488,455,413,10,65,1,0,157,139,278,227,138,3,1,1,0,0,0
2015, Sul  , Santa Catarina  , Sangão  ,2750,574,1837,339,0,0,0,1646,1098,6,1936,814,1364,1386,794,1773,73,98,9,3,245,338,971,717,434,34,9,1,1,0,0
2015, Sul  , Santa Catarina  , Santa Cecília  ,3817,603,2540,576,44,98,0,1908,1858,51,3682,135,1894,1923,725,2581,30,473,6,2,228,417,1285,1073,647,70,30,11,11,21,24
2015, Sul  , Santa Catarina  , Santa Helena  ,409,60,269,80,0,0,0,207,202,0,409,0,198,211,44,295,0,70,0,0,10,45,134,130,82,7,1,0,0,0,0
2015, Sul  , Santa Catarina  , Santa Rosa de Lima  ,425,118,191,99,0,17,0,155,270,0,425,0,190,235,138,280,3,4,0,0,63,54,105,90,89,9,3,4,3,1,4
2015, Sul  , Santa Catarina  , Santa Rosa do Sul  ,2186,403,1116,597,388,62,388,920,878,0,1417,769,1072,1114,779,1369,18,20,0,0,218,196,552,533,572,56,39,7,4,4,5
2015, Sul  , Santa Catarina  , Santa Terezinha  ,1820,325,1099,348,0,48,0,835,985,0,769,1051,875,945,284,1499,3,33,1,0,132,183,513,525,389,33,22,6,6,5,6
2015, Sul  , Santa Catarina  , Santa Terezinha do Progresso  ,575,79,364,132,0,0,0,319,256,0,510,65,272,303,129,416,4,26,0,0,14,62,175,179,132,10,2,1,0,0,0
2015, Sul  , Santa Catarina  , Santiago do Sul  ,329,65,182,82,0,0,0,157,172,0,329,0,165,164,226,86,0,17,0,0,28,35,110,79,72,4,1,0,0,0,0
2015, Sul  , Santa Catarina  , Santo Amaro da Imperatriz  ,5065,990,2996,957,42,122,0,2000,2585,480,4953,112,2490,2575,1535,3284,99,142,3,2,616,448,1466,1289,1074,74,26,11,11,14,36
2015, Sul  , Santa Catarina  , São Bento do Sul  ,20007,4740,10198,3143,523,1403,0,5936,10600,3471,19840,167,9652,10355,5023,13614,43,1275,48,4,2550,2068,5698,4623,3312,437,442,236,203,179,259
2015, Sul  , Santa Catarina  , São Bernardino  ,689,132,435,122,0,0,0,122,567,0,654,35,328,361,593,75,1,18,1,1,68,72,197,213,114,18,6,0,1,0,0
2015, Sul  , Santa Catarina  , São Bonifácio  ,489,87,328,74,0,0,0,311,178,0,354,135,240,249,206,280,1,1,1,0,33,49,164,141,96,5,1,0,0,0,0
2015, Sul  , Santa Catarina  , São Carlos  ,1907,430,1057,277,27,143,0,1001,825,81,1634,273,927,980,891,932,3,80,0,1,211,216,540,444,323,49,34,28,19,17,26
